sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 09, 2024 15:04:42

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	  4820(847)	   720(100)	    1102(0)	   4987(48)	     0(0)	    89(0)	     0(0)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2151(0)	     506(0)	     470(0)	    2402(0)	     0(0)	    27(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_f8e357ee76084051a56be552e4669b77	    2151(0)	     506(0)	     470(0)	    2402(0)	     0(0)	    27(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_f8e357ee76084051a56be552e4669b77	  2151(321)	     506(0)	   470(128)	  2402(215)	     0(0)	    27(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     25(25)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_f8e357ee76084051a56be552e4669b77(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     73(73)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     80(80)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     12(12)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     12(12)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
